Well,Strain,Replicate
A1,Blank,
A2,Blank,
A3,Blank,
A4,Blank,
A5,Blank,
A6,Blank,
A7,Blank,
A8,Blank,
B1,Blank,1
B2,WT,1
B3,SLI_158,1
B4,SLI_210,1
B5,TLI_801,1
B6,TLI_802,1
B7,CM4,1
B8,Blank,1
C1,Blank,2
C2,WT,2
C3,SLI_158,2
C4,SLI_210,2
C5,TLI_801,2
C6,TLI_802,2
C7,CM4,2
C8,Blank,2
D1,Blank,3
D2,WT,3
D3,SLI_158,3
D4,SLI_210,3
D5,TLI_801,3
D6,TLI_802,3
D7,CM4,3
D8,Blank,3
E1,Blank,4
E2,WT,4
E3,SLI_158,4
E4,SLI_210,4
E5,TLI_801,4
E6,TLI_802,4
E7,CM4,4
E8,Blank,4
F1,Blank,
F2,Blank,
F3,Blank,
F4,Blank,
F5,Blank,
F6,Blank,
F7,Blank,
F8,Blank,
