Isolate,Replicate,gr_rate,lag
0A,1,0.221,18.9
0A,2,0.202,17.94
0A,3,0.199,16.17
A1,1,0.18,13.45
A1,2,0.194,14.6
A1,3,0.191,15.66
B1,1,0.203,9.07
B1,2,0.208,9.23
B1,3,0.206,7.02
C1,1,0.194,10.51
C1,2,0.191,8.7
C1,3,0.189,10.61
C2,1,0.211,13.06
C2,2,0.2,12.51
C2,3,0.195,8.63
D1,1,0.254,7.95
D1,2,0.231,8.97
D1,3,0.222,6.35
E1,1,0.226,18.34
E1,2,0.183,17.22
E1,3,0.187,18.6
F1,1,0.227,9.68
F1,2,0.213,12.92
F1,3,0.221,13.45
F2,1,0.194,10.1
F2,2,0.193,13.16
F2,3,0.194,10.04
G1,1,0.186,15.1
G1,2,0.184,14.75
G1,3,0.194,14.58
G2,1,0.203,13.64
G2,2,0.234,13.56
G2,3,0.192,11.78
H1,1,0.181,12.88
H1,2,0.178,13.48
H1,3,0.178,12.74
I1,1,0.197,13.52
I1,2,0.21,10.61
I1,3,0.203,10.1
I2,1,0.167,8.93
I2,2,0.166,6.31
I2,3,0.171,6.92
J1,1,0.179,9.31
J1,2,0.187,9.02
