Well,Strain,Replicate
A1,Blank,
A2,Blank,
A3,Blank,
A4,Blank,
A5,Blank,
A6,Blank,
A7,Blank,
A8,Blank,
B1,SLI_158,1
B2,SLI_210,1
B3,SLI_515,1
B4,SLI_575,1
B5,TLI_801,1
B6,TLI_802,1
B7,AMS_5,1
B8,PA1,1
C1,SLI_158,2
C2,SLI_210,2
C3,SLI_515,2
C4,SLI_575,2
C5,TLI_801,2
C6,TLI_802,2
C7,AMS_5,2
C8,PA1,2
D1,SLI_158,3
D2,SLI_210,3
D3,SLI_515,3
D4,SLI_575,3
D5,TLI_801,3
D6,TLI_802,3
D7,AMS_5,3
D8,PA1,3
E1,SLI_158,4
E2,SLI_210,4
E3,SLI_515,4
E4,SLI_575,4
E5,TLI_801,4
E6,TLI_802,4
E7,AMS_5,4
E8,PA1,4
F1,Blank,
F2,Blank,
F3,Blank,
F4,Blank,
F5,Blank,
F6,Blank,
F7,Blank,
F8,Blank,
