Well,Strain,Replicate
A1,Blank,
A2,Blank,
A3,Blank,
A4,Blank,
A5,Blank,
A6,Blank,
A7,Blank,
A8,Blank,
B1,Blank,
B2,CM4,1
B3,DM4,1
B4,nodulans,1
B5,AM1,1
B6,populii,1
B7,radiotolerans,1
B8,PA1,1
C1,Blank,
C2,CM4,2
C3,DM4,2
C4,nodulans,2
C5,AM1,2
C6,populii,2
C7,radiotolerans,2
C8,PA1,2
D1,Blank,
D2,CM4,3
D3,DM4,3
D4,nodulans,3
D5,AM1,3
D6,populii,3
D7,radiotolerans,3
D8,PA1,3
E1,Blank,
E2,CM4,4
E3,DM4,4
E4,nodulans,4
E5,AM1,4
E6,populii,4
E7,radiotolerans,4
E8,PA1,4
F1,Blank,
F2,Blank,
F3,Blank,
F4,Blank,
F5,Blank,
F6,Blank,
F7,Blank,
F8,Blank,
