Isolate,Replicate,gr_rate,lag
0A,1,0.213,18.54
0A,2,0.2,17.84
0A,3,0.196,16
A1,1,0.172,12.79
A1,2,0.19,14.32
A1,3,0.191,15.66
B1,1,0.202,8.98
B1,2,0.208,9.23
B1,3,0.203,6.79
C1,1,0.188,10.48
C1,2,0.193,8.55
C1,3,0.189,10.46
C2,1,0.196,12.23
C2,2,0.199,12.51
C2,3,0.194,8.56
D1,1,0.244,7.53
D1,2,0.226,8.73
D1,3,0.208,5.88
E1,1,0.22,17.99
E1,2,0.179,16.93
E1,3,0.184,18.4
F1,1,0.216,12.27
F1,2,0.211,12.82
F1,3,0.22,13.39
F2,1,0.193,10
F2,2,0.193,13.14
F2,3,0.193,9.93
G1,1,0.187,15.14
G1,2,0.183,14.65
G1,3,0.194,14.54
G2,1,0.189,12.76
G2,2,0.233,13.48
G2,3,0.192,11.78
H1,1,0.178,12.65
H1,2,0.175,13.25
H1,3,0.174,12.47
I1,1,0.196,13.45
I1,2,0.213,10.84
I1,3,0.2,9.79
I2,1,0.165,8.67
I2,2,0.164,6.07
I2,3,0.169,6.74
J1,1,0.179,9.31
J1,2,0.187,9.01
